segment_count,dl_start,dl_end,rebuff_time,end_buffer,bitrate,reward
0,2.053,4.004,0,1,7,-9.096910013008056
1,4.004,4.896,0,1.1079999999999997,6,-9.159901959985744
2,4.896,5.703,0,1.3009999999999993,7,-9.101910013008057
3,5.703,6.747,0,1.2569999999999997,8,-9.050757490560676
4,6.747,7.569,0,1.4349999999999996,6,-9.164901959985743
5,7.569,8.41,0,1.5939999999999994,6,-9.154901959985743
6,8.41,9.437,0,1.5670000000000002,7,-9.101910013008057
7,9.437,10.292,0,1.7119999999999997,6,-9.159901959985744
8,10.292,11.003,0,2.0009999999999994,6,-9.154901959985743
9,11.003,11.73,0,2.273999999999999,7,-9.101910013008057
10,11.73,12.507,0,2.497,7,-9.096910013008056
11,12.507,13.424,0,2.58,8,-9.050757490560676
12,13.424,14.199,0,2.8049999999999997,6,-9.164901959985743
13,14.199,14.894,0,3.1099999999999994,6,-9.154901959985743
14,14.894,15.673,0,3.3309999999999995,6,-9.154901959985743
15,15.673,16.573,0,3.430999999999999,7,-9.101910013008057
16,16.573,17.191,0,3.8130000000000006,6,-9.159901959985744
17,17.191,17.885,0,4.118999999999998,6,-9.154901959985743
18,17.885,18.607,0,4.397,6,-9.154901959985743
19,18.607,19.395,0,4.609,6,-9.154901959985743
20,19.395,20.358,0,4.645999999999999,7,-9.101910013008057
21,20.358,21.366,0,4.638,7,-9.096910013008056
22,21.366,22.237,0,4.767000000000001,7,-9.096910013008056
23,22.237,23.116,0,4.888,7,-9.096910013008056
24,23.116,23.976,0,5.0280000000000005,7,-9.096910013008056
25,23.976,24.805,0,5.199,7,-9.096910013008056
26,24.805,26.001,0,5.002999999999998,7,-9.096910013008056
27,26.001,27.23,0,4.773999999999999,7,-9.096910013008056
28,27.23,28.832,0,4.171999999999999,6,-9.159901959985744
29,28.832,31.144,0,2.860000000000001,7,-9.101910013008057
30,31.144,32.559,0,2.445000000000002,7,-9.096910013008056
31,32.559,34.187,0,1.817000000000002,7,-9.096910013008056
32,34.187,35.416,0,1.5880000000000027,7,-9.096910013008056
33,35.416,36.442,0,1.5619999999999994,7,-9.096910013008056
34,36.442,37.352,0,1.6520000000000028,6,-9.159901959985744
35,37.352,38.114,0,1.8900000000000023,6,-9.154901959985743
36,38.114,38.977,0,2.027000000000003,6,-9.154901959985743
37,38.977,39.657,0,2.347000000000003,6,-9.154901959985743
38,39.657,40.515,0,2.488999999999999,7,-9.101910013008057
39,40.515,41.311,0,2.6929999999999996,7,-9.096910013008056
40,41.311,42.17,0,2.833999999999998,7,-9.096910013008056
41,42.17,42.917,0,3.086999999999998,6,-9.159901959985744
42,42.917,43.652,0,3.3519999999999985,7,-9.101910013008057
43,43.652,44.733,0,3.2710000000000026,8,-9.050757490560676
44,44.733,45.465,0,3.538999999999996,7,-9.101910013008057
45,45.465,46.087,0,3.9169999999999963,6,-9.159901959985744
46,46.087,46.918,0,4.086,7,-9.101910013008057
47,46.918,47.722,0,4.281999999999998,6,-9.159901959985744
48,47.722,48.655,0,4.348999999999998,7,-9.101910013008057
49,48.655,49.485,0,4.519,7,-9.096910013008056
50,49.485,50.295,0,4.708999999999998,7,-9.096910013008056
51,50.295,51.179,0,4.8249999999999975,7,-9.096910013008056
52,51.179,52.047,0,4.9570000000000025,7,-9.096910013008056
53,52.047,52.938,0,5.065999999999997,7,-9.096910013008056
54,52.938,53.901,0,5.102999999999996,7,-9.096910013008056
55,53.901,55.024,0,4.979999999999999,7,-9.096910013008056
56,55.024,56.092,0,4.912000000000001,7,-9.096910013008056
57,56.092,57.31,0,4.693999999999997,6,-9.159901959985744
58,57.31,59.306,0,3.698000000000002,7,-9.101910013008057
59,59.306,61.773,0,2.2309999999999963,8,-9.050757490560676
60,61.773,63.736,0,1.2680000000000025,7,-9.101910013008057
61,63.736,64.754,0,1.2499999999999947,7,-9.096910013008056
62,64.754,65.479,0,1.5250000000000004,7,-9.096910013008056
63,65.479,66.561,0,1.4429999999999925,7,-9.096910013008056
64,66.561,67.535,0,1.469000000000003,7,-9.096910013008056
65,67.535,68.561,0,1.4429999999999925,7,-9.096910013008056
66,68.561,69.765,0,1.238999999999999,8,-9.050757490560676
67,69.765,70.734,0,1.270000000000005,7,-9.101910013008057
68,70.734,71.557,0,1.4469999999999974,7,-9.096910013008056
69,71.557,72.285,0,1.719000000000003,7,-9.096910013008056
70,72.285,73.082,0,1.922000000000006,7,-9.096910013008056
71,73.082,73.883,0,2.121000000000004,7,-9.096910013008056
72,73.883,74.658,0,2.3459999999999983,6,-9.159901959985744
73,74.658,75.453,0,2.5509999999999966,7,-9.101910013008057
74,75.453,76.326,0,2.678000000000006,7,-9.096910013008056
75,76.326,77.227,0,2.7769999999999957,7,-9.096910013008056
76,77.227,77.928,0,3.0760000000000023,7,-9.096910013008056
77,77.928,78.735,0,3.269,7,-9.096910013008056
78,78.735,79.57,0,3.4340000000000064,7,-9.096910013008056
79,79.57,80.493,0,3.5110000000000046,7,-9.096910013008056
80,80.493,81.308,0,3.6959999999999926,6,-9.159901959985744
81,81.308,82.417,0,3.586999999999998,8,-9.055757490560675
82,82.417,83.227,0,3.7769999999999957,7,-9.101910013008057
83,83.227,83.979,0,4.025,6,-9.159901959985744
84,83.979,84.817,0,4.1870000000000065,6,-9.154901959985743
85,84.817,85.758,0,4.246000000000004,7,-9.101910013008057
86,85.758,87.478,0,3.526000000000005,7,-9.096910013008056
87,87.478,89.706,0,2.2979999999999965,6,-9.159901959985744
88,89.706,92.502,0.4979999999999958,1,7,-13.085910013008021
89,92.502,94.017,0.5150000000000006,1,8,-13.17075749056068
90,94.017,94.733,0,1.2839999999999918,6,-9.164901959985743
91,94.733,95.678,0,1.3389999999999986,6,-9.154901959985743
92,95.678,96.566,0,1.4509999999999934,6,-9.154901959985743
93,96.566,97.678,0,1.3389999999999986,8,-9.055757490560675
94,97.678,98.599,0,1.4179999999999922,6,-9.164901959985743
95,98.599,99.318,0,1.698999999999998,6,-9.154901959985743
96,99.318,100.412,0,1.6049999999999898,8,-9.055757490560675
97,100.412,101.238,0,1.7789999999999964,7,-9.101910013008057
98,101.238,101.98,0,2.036999999999992,6,-9.159901959985744
99,101.98,101.98,0,2.036999999999992,7,-9.101910013008057
