% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct	ccId
2370	1	1	1	2	0	20	3542	0	1	1	0
2370	1	1	1	2	1	20	3542	0	1	1	0
2372	1	1	1	2	0	20	3542	0	1	1	0
2372	1	1	1	2	1	20	3542	0	1	1	0
2392	1	1	1	2	0	22	4251	0	1	1	0
2392	1	1	1	2	1	22	4251	0	1	1	0
2412	1	1	1	2	0	24	4904	0	1	1	0
2412	1	1	1	2	1	24	4904	0	1	1	0
2432	1	1	1	2	0	24	4904	0	1	1	0
2432	1	1	1	2	1	24	4904	0	1	1	0
2452	1	1	1	2	0	22	4251	0	1	1	0
2452	1	1	1	2	1	22	4251	0	1	1	0
2472	1	1	1	2	0	22	4251	0	1	1	0
2472	1	1	1	2	1	22	4251	0	1	1	0
2492	1	1	1	2	0	22	4251	0	1	1	0
2492	1	1	1	2	1	22	4251	0	1	1	0
2512	1	1	1	2	0	24	4904	0	1	1	0
2512	1	1	1	2	1	24	4904	0	1	1	0
2532	1	1	1	2	0	22	4251	0	1	1	0
2532	1	1	1	2	1	22	4251	0	1	1	0
2552	1	1	1	2	0	24	4904	0	1	1	0
2552	1	1	1	2	1	24	4904	0	1	1	0
2572	1	1	1	2	0	28	6594	0	1	1	0
2572	1	1	1	2	1	28	6594	0	1	1	0
2592	1	1	1	2	0	24	4904	0	1	1	0
2592	1	1	1	2	1	24	4904	0	1	1	0
2612	1	1	1	2	0	24	4904	0	1	1	0
2612	1	1	1	2	1	24	4904	0	1	1	0
2632	1	1	1	2	0	22	4251	0	1	1	0
2632	1	1	1	2	1	22	4251	0	1	1	0
2652	1	1	1	2	0	22	4251	0	1	1	0
2652	1	1	1	2	1	22	4251	0	1	1	0
2672	1	1	1	2	0	28	6594	0	1	1	0
2672	1	1	1	2	1	28	6594	0	1	1	0
2692	1	1	1	2	0	26	5477	0	1	1	0
2692	1	1	1	2	1	26	5477	0	1	1	0
2712	1	1	1	2	0	28	6594	0	1	1	0
2712	1	1	1	2	1	28	6594	0	1	1	0
2732	1	1	1	2	0	22	4251	0	1	1	0
2732	1	1	1	2	1	22	4251	0	1	1	0
2752	1	1	1	2	0	24	4904	0	1	1	0
2752	1	1	1	2	1	24	4904	0	1	1	0
2772	1	1	1	2	0	22	4251	0	1	1	0
2772	1	1	1	2	1	22	4251	0	1	1	0
2792	1	1	1	2	0	24	4904	0	1	1	0
